touch_id,touch_date,customer_id,campaign_id,campaign_name,target_product_family,channel,offer_variant,converted,attributed_transaction_id,attributed_revenue
TCH000001,2026-04-25,CUST00310,CMP002,Debt Consolidation Loan,Lending,Email,Education,False,,0
TCH000002,2025-02-24,CUST00461,CMP005,CD Maturity Winback,Deposits,In App,Rewards,False,,0
TCH000003,2026-09-12,CUST00259,CMP001,Savings Rate Booster,Deposits,Email,Education,False,,0
TCH000004,2025-05-01,CUST00022,CMP002,Debt Consolidation Loan,Lending,Contact Center,Control,False,,0
TCH000005,2025-10-16,CUST00430,CMP005,CD Maturity Winback,Deposits,Email,Control,False,,0
TCH000006,2025-05-29,CUST00349,CMP002,Debt Consolidation Loan,Lending,In App,Control,False,,0
TCH000007,2026-07-05,CUST00172,CMP001,Savings Rate Booster,Deposits,Display,Education,False,,0
TCH000008,2025-06-16,CUST00176,CMP001,Savings Rate Booster,Deposits,Paid Search,Rate,False,,0
TCH000009,2026-09-01,CUST00058,CMP001,Savings Rate Booster,Deposits,Email,Cash Bonus,False,,0
TCH000010,2025-06-12,CUST00409,CMP004,Card Rewards Upgrade,Cards,Paid Search,Education,True,TXN0000921,394.81
TCH000011,2025-01-08,CUST00348,CMP004,Card Rewards Upgrade,Cards,Display,Cash Bonus,False,,0
TCH000012,2026-05-07,CUST00152,CMP003,Invest Starter,Wealth,Email,Education,False,,0
TCH000013,2025-07-21,CUST00471,CMP002,Debt Consolidation Loan,Lending,Email,Cash Bonus,True,TXN0002159,253.54
TCH000014,2025-03-17,CUST00382,CMP004,Card Rewards Upgrade,Cards,Contact Center,Cash Bonus,False,,0
TCH000015,2025-10-06,CUST00296,CMP002,Debt Consolidation Loan,Lending,In App,Rewards,False,,0
TCH000016,2026-02-22,CUST00068,CMP004,Card Rewards Upgrade,Cards,Contact Center,Rewards,True,TXN0000958,85.06
TCH000017,2025-08-26,CUST00187,CMP001,Savings Rate Booster,Deposits,Paid Search,Rewards,False,,0
TCH000018,2026-07-02,CUST00379,CMP001,Savings Rate Booster,Deposits,Paid Search,Cash Bonus,False,,0
TCH000019,2026-07-23,CUST00417,CMP004,Card Rewards Upgrade,Cards,Email,Rate,False,,0
TCH000020,2026-02-15,CUST00265,CMP004,Card Rewards Upgrade,Cards,Email,Rewards,True,TXN0002347,139.24
TCH000021,2026-02-10,CUST00022,CMP002,Debt Consolidation Loan,Lending,In App,Control,False,,0
TCH000022,2025-05-13,CUST00023,CMP003,Invest Starter,Wealth,Email,Rewards,False,,0
TCH000023,2025-01-09,CUST00429,CMP003,Invest Starter,Wealth,Contact Center,Control,False,,0
TCH000024,2025-08-10,CUST00441,CMP001,Savings Rate Booster,Deposits,Contact Center,Control,False,,0
TCH000025,2025-08-31,CUST00031,CMP002,Debt Consolidation Loan,Lending,Paid Search,Cash Bonus,False,,0
TCH000026,2026-09-15,CUST00012,CMP002,Debt Consolidation Loan,Lending,Paid Search,Rate,False,,0
TCH000027,2026-01-15,CUST00388,CMP004,Card Rewards Upgrade,Cards,Contact Center,Cash Bonus,False,,0
TCH000028,2025-04-25,CUST00440,CMP002,Debt Consolidation Loan,Lending,Paid Search,Rewards,False,,0
TCH000029,2026-10-01,CUST00026,CMP001,Savings Rate Booster,Deposits,In App,Control,False,,0
TCH000030,2026-04-20,CUST00442,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,False,,0
TCH000031,2025-10-07,CUST00132,CMP003,Invest Starter,Wealth,Contact Center,Rate,False,,0
TCH000032,2025-10-20,CUST00164,CMP001,Savings Rate Booster,Deposits,Contact Center,Cash Bonus,False,,0
TCH000033,2025-12-04,CUST00474,CMP003,Invest Starter,Wealth,Email,Control,False,,0
TCH000034,2026-07-29,CUST00009,CMP005,CD Maturity Winback,Deposits,Contact Center,Rewards,True,TXN0001592,84.27
TCH000035,2025-12-25,CUST00323,CMP003,Invest Starter,Wealth,Display,Cash Bonus,False,,0
TCH000036,2026-02-20,CUST00204,CMP003,Invest Starter,Wealth,Contact Center,Cash Bonus,True,TXN0000491,107.11
TCH000037,2026-05-21,CUST00064,CMP002,Debt Consolidation Loan,Lending,Email,Cash Bonus,False,,0
TCH000038,2025-01-13,CUST00195,CMP004,Card Rewards Upgrade,Cards,In App,Control,False,,0
TCH000039,2025-05-23,CUST00431,CMP004,Card Rewards Upgrade,Cards,In App,Control,False,,0
TCH000040,2025-10-31,CUST00006,CMP004,Card Rewards Upgrade,Cards,Paid Search,Rewards,False,,0
TCH000041,2025-05-15,CUST00009,CMP004,Card Rewards Upgrade,Cards,Email,Cash Bonus,True,TXN0002310,380.68
TCH000042,2025-01-28,CUST00187,CMP005,CD Maturity Winback,Deposits,Email,Control,True,TXN0000589,36.38
TCH000043,2025-04-03,CUST00118,CMP004,Card Rewards Upgrade,Cards,Email,Cash Bonus,False,,0
TCH000044,2025-12-22,CUST00028,CMP004,Card Rewards Upgrade,Cards,Contact Center,Control,False,,0
TCH000045,2025-07-03,CUST00067,CMP003,Invest Starter,Wealth,Email,Rate,False,,0
TCH000046,2025-12-01,CUST00303,CMP002,Debt Consolidation Loan,Lending,Contact Center,Cash Bonus,False,,0
TCH000047,2026-01-20,CUST00364,CMP001,Savings Rate Booster,Deposits,Display,Rate,False,,0
TCH000048,2025-11-24,CUST00349,CMP001,Savings Rate Booster,Deposits,In App,Education,False,,0
TCH000049,2026-04-17,CUST00164,CMP001,Savings Rate Booster,Deposits,Email,Education,True,TXN0002121,163.64
TCH000050,2026-02-12,CUST00273,CMP005,CD Maturity Winback,Deposits,Display,Rewards,False,,0
TCH000051,2026-03-16,CUST00110,CMP005,CD Maturity Winback,Deposits,Email,Education,False,,0
TCH000052,2025-11-27,CUST00100,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,False,,0
TCH000053,2026-02-10,CUST00236,CMP005,CD Maturity Winback,Deposits,Email,Cash Bonus,False,,0
TCH000054,2025-07-10,CUST00026,CMP004,Card Rewards Upgrade,Cards,In App,Rewards,False,,0
TCH000055,2025-09-29,CUST00278,CMP001,Savings Rate Booster,Deposits,Email,Control,False,,0
TCH000056,2025-06-17,CUST00096,CMP005,CD Maturity Winback,Deposits,In App,Rewards,True,TXN0001055,100.91
TCH000057,2025-07-14,CUST00112,CMP002,Debt Consolidation Loan,Lending,Paid Search,Education,False,,0
TCH000058,2025-05-17,CUST00109,CMP004,Card Rewards Upgrade,Cards,In App,Cash Bonus,True,TXN0002479,306.19
TCH000059,2025-07-10,CUST00021,CMP003,Invest Starter,Wealth,Paid Search,Cash Bonus,False,,0
TCH000060,2025-06-17,CUST00391,CMP002,Debt Consolidation Loan,Lending,In App,Rewards,False,,0
TCH000061,2026-08-31,CUST00441,CMP005,CD Maturity Winback,Deposits,Display,Rate,False,,0
TCH000062,2025-08-31,CUST00243,CMP004,Card Rewards Upgrade,Cards,Paid Search,Rate,False,,0
TCH000063,2025-12-13,CUST00445,CMP005,CD Maturity Winback,Deposits,Email,Rate,False,,0
TCH000064,2025-07-06,CUST00352,CMP002,Debt Consolidation Loan,Lending,Display,Control,True,TXN0000275,109.32
TCH000065,2026-09-24,CUST00217,CMP001,Savings Rate Booster,Deposits,Paid Search,Education,True,TXN0002188,182.94
TCH000066,2025-05-22,CUST00151,CMP003,Invest Starter,Wealth,In App,Control,True,TXN0000870,70.3
TCH000067,2026-06-22,CUST00303,CMP005,CD Maturity Winback,Deposits,Email,Rewards,True,TXN0001766,27.26
TCH000068,2025-11-25,CUST00420,CMP003,Invest Starter,Wealth,Display,Cash Bonus,False,,0
TCH000069,2026-02-03,CUST00065,CMP003,Invest Starter,Wealth,Display,Rewards,True,TXN0001290,117.06
TCH000070,2026-09-16,CUST00354,CMP005,CD Maturity Winback,Deposits,Paid Search,Education,False,,0
TCH000071,2025-01-31,CUST00064,CMP002,Debt Consolidation Loan,Lending,In App,Cash Bonus,True,TXN0002401,54.01
TCH000072,2025-06-08,CUST00110,CMP002,Debt Consolidation Loan,Lending,In App,Rate,True,TXN0002182,467.8
TCH000073,2026-04-06,CUST00253,CMP002,Debt Consolidation Loan,Lending,Paid Search,Rate,False,,0
TCH000074,2026-06-03,CUST00213,CMP001,Savings Rate Booster,Deposits,Email,Rewards,False,,0
TCH000075,2025-11-02,CUST00476,CMP004,Card Rewards Upgrade,Cards,Email,Rewards,False,,0
TCH000076,2026-07-26,CUST00107,CMP001,Savings Rate Booster,Deposits,Paid Search,Rewards,False,,0
TCH000077,2026-09-22,CUST00172,CMP001,Savings Rate Booster,Deposits,Contact Center,Education,False,,0
TCH000078,2025-10-22,CUST00070,CMP003,Invest Starter,Wealth,Email,Rewards,True,TXN0002378,119.34
TCH000079,2025-02-24,CUST00373,CMP003,Invest Starter,Wealth,Display,Control,True,TXN0001444,199.5
TCH000080,2026-01-11,CUST00243,CMP004,Card Rewards Upgrade,Cards,In App,Rewards,False,,0
TCH000081,2026-01-16,CUST00071,CMP004,Card Rewards Upgrade,Cards,Email,Rewards,False,,0
TCH000082,2025-02-10,CUST00008,CMP002,Debt Consolidation Loan,Lending,In App,Rate,False,,0
TCH000083,2026-01-01,CUST00340,CMP005,CD Maturity Winback,Deposits,In App,Cash Bonus,False,,0
TCH000084,2025-03-14,CUST00374,CMP004,Card Rewards Upgrade,Cards,In App,Cash Bonus,False,,0
