event_id,event_timestamp,customer_id,product_id,event_type,device_type,session_minutes,referrer
EVT0000001,2026-05-31T19:39:00,CUST00308,P002,application_start,Mobile,35,Partner
EVT0000002,2025-03-31T18:04:00,CUST00495,P003,calculator_use,Tablet,25,Search
EVT0000003,2025-11-27T20:07:00,CUST00220,P004,page_view,Tablet,32,Partner
EVT0000004,2025-08-18T12:39:00,CUST00132,P003,application_start,Mobile,21,Direct
EVT0000005,2026-03-23T12:56:00,CUST00393,P003,page_view,Tablet,26,Partner
EVT0000006,2026-03-14T11:59:00,CUST00272,P005,page_view,Desktop,14,Email
EVT0000007,2025-07-08T08:53:00,CUST00378,P005,page_view,Mobile,13,Direct
EVT0000008,2026-08-13T15:41:00,CUST00044,P003,rate_check,Desktop,18,Search
EVT0000009,2025-10-15T20:34:00,CUST00065,P005,rate_check,Mobile,11,Partner
EVT0000010,2026-07-21T08:36:00,CUST00196,P004,document_upload,Mobile,28,Direct
EVT0000011,2026-06-03T08:17:00,CUST00489,P001,page_view,Desktop,13,Email
EVT0000012,2025-03-15T21:54:00,CUST00284,P001,calculator_use,Desktop,29,Search
EVT0000013,2026-02-13T14:47:00,CUST00192,P005,application_start,Desktop,23,Email
EVT0000014,2026-03-03T22:01:00,CUST00134,P003,calculator_use,Desktop,10,Partner
EVT0000015,2026-03-24T15:54:00,CUST00021,P005,calculator_use,Tablet,26,Search
EVT0000016,2025-02-19T18:21:00,CUST00254,P002,rate_check,Mobile,20,Social
EVT0000017,2025-04-20T17:44:00,CUST00294,P001,rate_check,Tablet,34,Email
EVT0000018,2025-06-07T20:32:00,CUST00210,P004,calculator_use,Tablet,3,Search
EVT0000019,2025-11-25T19:56:00,CUST00044,P003,rate_check,Tablet,16,Direct
EVT0000020,2026-04-10T13:55:00,CUST00345,P004,calculator_use,Tablet,9,Direct
EVT0000021,2026-01-31T10:26:00,CUST00469,P002,calculator_use,Desktop,24,Partner
EVT0000022,2025-10-01T12:47:00,CUST00245,P005,application_start,Desktop,29,Social
EVT0000023,2026-05-08T21:21:00,CUST00313,P001,page_view,Tablet,7,Social
EVT0000024,2026-04-13T15:23:00,CUST00259,P001,calculator_use,Desktop,10,Social
EVT0000025,2025-11-03T09:50:00,CUST00347,P003,calculator_use,Tablet,11,Email
EVT0000026,2026-03-16T22:17:00,CUST00106,P001,document_upload,Tablet,12,Social
EVT0000027,2026-06-14T20:41:00,CUST00389,P002,calculator_use,Tablet,31,Email
EVT0000028,2026-03-21T13:24:00,CUST00226,P004,calculator_use,Tablet,3,Partner
EVT0000029,2025-11-30T12:46:00,CUST00010,P003,document_upload,Mobile,14,Email
EVT0000030,2026-07-04T15:42:00,CUST00114,P004,application_start,Desktop,22,Partner
EVT0000031,2025-06-28T10:46:00,CUST00410,P005,page_view,Tablet,18,Social
