sales_month,channel_id,channel_name,channel_group,applications,funded_sales,sales_amount,estimated_revenue,conversion_rate
2025-02,C002,Mobile App,Digital,24,18,301607.66,3005.13,0.75
2025-11,C001,Web,Digital,24,18,251208.04,3552.96,0.75
2026-07,C005,Branch Partner,Partner,20,14,172964.53,2550.33,0.7
2025-08,C004,Contact Center,Assisted,17,12,151452.71,2157.64,0.7059
2025-01,C005,Branch Partner,Partner,22,16,289593.91,2091.93,0.7273
2025-06,C002,Mobile App,Digital,18,12,210694.26,2302.46,0.6667
2025-12,C004,Contact Center,Assisted,25,14,277230.19,2675.27,0.56
2025-09,C001,Web,Digital,28,19,288973.03,3196.06,0.6786
2026-08,C001,Web,Digital,27,18,211724.67,3649.53,0.6667
2025-10,C001,Web,Digital,25,13,222790.46,2803.23,0.52
2025-08,C002,Mobile App,Digital,27,20,367443.77,3436.56,0.7407
2025-06,C003,Email,Digital Marketing,16,12,169843.6,2648.04,0.75
2025-08,C001,Web,Digital,28,20,278973.35,3839.92,0.7143
2025-04,C005,Branch Partner,Partner,25,15,324937.78,2908.01,0.6
2025-05,C005,Branch Partner,Partner,35,25,357397.51,3740.56,0.7143
2026-03,C005,Branch Partner,Partner,24,15,267648.93,2595.05,0.625
2026-05,C003,Email,Digital Marketing,27,19,343460.73,4843.49,0.7037
2026-02,C005,Branch Partner,Partner,30,23,394733.66,4116.3,0.7667
2025-07,C004,Contact Center,Assisted,36,25,354997.47,4189.79,0.6944
2026-08,C004,Contact Center,Assisted,23,15,327118.46,3081.39,0.6522
2026-02,C002,Mobile App,Digital,28,21,389667.09,4997.44,0.75
2026-05,C005,Branch Partner,Partner,19,16,233908.52,2932.19,0.8421
2026-04,C002,Mobile App,Digital,18,11,191896.64,2305.09,0.6111
2025-05,C001,Web,Digital,35,28,470064.26,4419.0,0.8
2026-01,C002,Mobile App,Digital,18,11,261628.8,2216.83,0.6111
2025-06,C001,Web,Digital,23,17,289042.14,2839.35,0.7391
2025-07,C003,Email,Digital Marketing,21,18,370147.05,4728.59,0.8571
2025-09,C003,Email,Digital Marketing,28,19,364261.84,3018.45,0.6786
2026-02,C003,Email,Digital Marketing,17,10,177057.95,3647.7,0.5882
2026-08,C005,Branch Partner,Partner,22,17,223167.18,2554.79,0.7727
2025-10,C005,Branch Partner,Partner,23,12,219481.07,2339.42,0.5217
2025-09,C005,Branch Partner,Partner,24,15,191806.69,3038.94,0.625
2026-02,C001,Web,Digital,17,11,156800.49,2626.57,0.6471
2025-11,C004,Contact Center,Assisted,22,13,199290.71,1940.34,0.5909
2025-09,C002,Mobile App,Digital,21,18,254775.25,3428.4,0.8571
2025-12,C005,Branch Partner,Partner,35,22,378049.15,4146.57,0.6286
2025-02,C005,Branch Partner,Partner,27,19,241020.9,4204.99,0.7037
2026-05,C004,Contact Center,Assisted,21,17,266260.5,3124.15,0.8095
2025-05,C004,Contact Center,Assisted,24,15,286127.93,2880.16,0.625
2025-10,C002,Mobile App,Digital,23,20,289778.28,4178.2,0.8696
2026-03,C002,Mobile App,Digital,20,17,273177.4,3997.78,0.85
2025-04,C004,Contact Center,Assisted,31,22,342658.33,3836.53,0.7097
2025-06,C005,Branch Partner,Partner,22,18,317568.74,3131.0,0.8182
2026-04,C004,Contact Center,Assisted,19,13,170558.48,2388.94,0.6842
2026-03,C003,Email,Digital Marketing,21,15,239761.95,2271.88,0.7143
2025-08,C003,Email,Digital Marketing,28,19,287123.13,3406.6,0.6786
2026-08,C003,Email,Digital Marketing,26,19,375091.94,3369.54,0.7308
