customer_id,region,segment,credit_tier,digital_engagement_score,web_events,funded_sales,lifetime_sales_amount,lifetime_estimated_revenue
CUST00001,Northeast,Mass Affluent,Near Prime,94,9,2,37511.52,180.64
CUST00002,Northeast,Borrower,Prime,89,4,0,0.0,0.0
CUST00003,West,Mass Affluent,Near Prime,60,7,5,84794.99,1575.18
CUST00004,Northeast,Emerging Affluent,Super Prime,38,11,3,66360.97,408.87
CUST00005,Northeast,Rate Shopper,Prime,83,4,4,80061.03,488.79
CUST00006,West,Mass Affluent,Near Prime,49,7,7,126931.04,1160.76
CUST00007,Northeast,Mass Affluent,Super Prime,60,6,3,39265.48,1030.59
CUST00008,Southwest,Digital Native,Near Prime,34,4,2,20300.42,259.54
CUST00009,West,Emerging Affluent,Super Prime,96,1,8,113702.39,1287.19
CUST00010,Southeast,Digital Native,Super Prime,33,9,2,7320.02,300.12
CUST00011,Southeast,Borrower,Prime,58,8,5,98688.67,632.84
CUST00012,Southeast,Emerging Affluent,Super Prime,53,8,6,76965.58,991.58
CUST00013,Southeast,Borrower,Near Prime,45,7,3,35145.97,756.82
CUST00014,Southwest,Borrower,Near Prime,57,10,7,150960.25,1292.91
CUST00015,West,Mass Affluent,Super Prime,45,3,5,49534.34,682.75
CUST00016,Southwest,Mass Affluent,Prime,72,7,2,26813.14,897.87
CUST00017,Southeast,Borrower,Prime,71,4,1,21832.23,130.99
CUST00018,Midwest,Emerging Affluent,Prime,93,12,3,48514.1,958.77
CUST00019,Southeast,Emerging Affluent,Prime,94,6,2,24358.22,174.22
CUST00020,Southeast,Digital Native,Prime,56,3,2,20584.77,180.74
CUST00021,Southeast,Mass Affluent,Prime,34,5,3,22593.69,376.05
CUST00022,Northeast,Emerging Affluent,Super Prime,87,6,7,134517.32,1600.79
CUST00023,Southeast,Borrower,Prime,37,4,2,43763.2,209.17
CUST00024,Northeast,Rate Shopper,Near Prime,37,6,1,20086.09,160.69
CUST00025,Northeast,Rate Shopper,Near Prime,82,4,4,53780.48,349.95
CUST00026,Southeast,Rate Shopper,Super Prime,95,3,3,37900.84,778.19
CUST00027,Northeast,Mass Affluent,Super Prime,87,3,4,66266.2,1002.72
CUST00028,Southwest,Emerging Affluent,Super Prime,58,5,1,9190.73,73.53
CUST00029,Southwest,Digital Native,Prime,32,5,2,32051.38,537.65
CUST00030,West,Borrower,Near Prime,92,7,5,53726.73,724.73
CUST00031,Southeast,Mass Affluent,Near Prime,55,4,4,63974.12,608.14
CUST00032,Southwest,Mass Affluent,Super Prime,99,8,4,58275.43,524.73
CUST00033,West,Borrower,Super Prime,75,6,8,148626.08,2102.05
CUST00034,Southeast,Digital Native,Near Prime,97,9,6,91351.2,1586.64
CUST00035,Northeast,Mass Affluent,Prime,56,3,8,136820.19,2185.81
CUST00036,Midwest,Digital Native,Near Prime,95,3,1,4686.8,192.16
CUST00037,Midwest,Mass Affluent,Super Prime,61,6,1,6640.38,212.49
CUST00038,West,Emerging Affluent,Super Prime,31,2,4,64047.55,606.99
CUST00039,Northeast,Rate Shopper,Near Prime,58,10,4,92486.65,985.54
CUST00040,Southeast,Rate Shopper,Near Prime,44,8,3,32134.47,393.28
CUST00041,West,Mass Affluent,Super Prime,71,10,7,159893.44,2695.41
CUST00042,Northeast,Digital Native,Near Prime,44,8,1,24975.95,199.81
CUST00043,Southeast,Emerging Affluent,Super Prime,56,5,5,93505.36,810.93
CUST00044,Midwest,Emerging Affluent,Prime,83,10,3,55558.09,331.16
CUST00045,Midwest,Digital Native,Super Prime,60,3,4,93007.49,1108.29
CUST00046,Northeast,Digital Native,Super Prime,47,5,7,114432.36,1136.09
CUST00047,West,Digital Native,Super Prime,90,5,10,194187.2,2846.65
CUST00048,Northeast,Rate Shopper,Prime,91,11,2,54137.48,256.79
CUST00049,West,Emerging Affluent,Near Prime,40,2,5,85430.09,1476.46
CUST00050,Midwest,Borrower,Near Prime,41,7,3,80262.66,361.09
CUST00051,Southeast,Rate Shopper,Super Prime,61,3,4,38507.39,808.16
CUST00052,Southeast,Rate Shopper,Near Prime,52,5,4,66694.38,476.83
CUST00053,West,Rate Shopper,Prime,55,10,6,56552.24,996.98
CUST00054,Midwest,Emerging Affluent,Super Prime,34,5,3,56582.06,755.61
CUST00055,Southwest,Rate Shopper,Prime,43,8,5,102368.51,1281.72
CUST00056,Northeast,Mass Affluent,Prime,96,6,5,92352.38,763.24
CUST00057,Southeast,Mass Affluent,Super Prime,89,9,3,70563.2,852.27
CUST00058,Southwest,Borrower,Prime,60,3,8,204000.08,1673.66
CUST00059,West,Rate Shopper,Prime,59,4,4,59482.47,1564.77
CUST00060,Midwest,Digital Native,Super Prime,44,7,3,27763.52,226.46
