sales_month,region,segment,product_id,channel_id,applications,funded_sales,sales_amount,estimated_revenue,new_customer_sales,conversion_rate
2025-02,Northeast,Rate Shopper,P003,C002,1,0,0.0,0.0,0,0.0
2025-11,West,Emerging Affluent,P001,C001,1,1,11364.07,68.18,0,1.0
2026-07,Midwest,Mass Affluent,P003,C005,1,1,10037.42,321.2,0,1.0
2025-08,Midwest,Digital Native,P003,C004,1,1,12394.58,396.63,0,1.0
2025-01,Midwest,Rate Shopper,P004,C005,2,2,39628.71,317.02,1,1.0
2025-06,Northeast,Borrower,P002,C002,1,1,26940.33,107.76,0,1.0
2025-12,Southwest,Digital Native,P002,C004,1,1,24987.52,99.95,1,1.0
2025-09,Southwest,Mass Affluent,P004,C001,1,1,13328.21,106.63,0,1.0
2026-08,Southwest,Mass Affluent,P005,C001,1,0,0.0,0.0,0,0.0
2025-10,Southeast,Digital Native,P005,C001,1,0,0.0,0.0,0,0.0
2025-08,Northeast,Digital Native,P004,C002,2,1,19035.44,152.28,1,0.5
2025-06,Northeast,Borrower,P005,C003,2,1,4578.34,187.71,1,0.5
2025-08,Southwest,Mass Affluent,P005,C001,2,1,2769.81,113.56,0,0.5
2025-04,Southwest,Digital Native,P002,C005,1,1,30486.12,121.94,0,1.0
2025-05,Southwest,Digital Native,P005,C005,2,1,3778.25,154.91,0,0.5
2026-03,West,Borrower,P004,C005,1,1,28245.42,225.96,1,1.0
2025-12,Northeast,Rate Shopper,P004,C004,1,0,0.0,0.0,0,0.0
2026-05,West,Borrower,P002,C003,1,0,0.0,0.0,0,0.0
2026-02,West,Rate Shopper,P005,C005,1,0,0.0,0.0,0,0.0
2025-07,West,Borrower,P001,C004,1,1,18659.02,111.95,0,1.0
2026-08,Southwest,Rate Shopper,P002,C004,1,1,26576.16,106.3,0,1.0
2026-02,Midwest,Rate Shopper,P004,C002,1,1,37127.54,297.02,0,1.0
2026-05,Midwest,Borrower,P005,C005,1,1,3177.25,130.27,0,1.0
2026-04,Midwest,Rate Shopper,P001,C002,1,0,0.0,0.0,0,0.0
2025-12,Midwest,Digital Native,P005,C004,2,2,7004.68,287.19,1,1.0
2025-05,Southeast,Emerging Affluent,P001,C001,1,1,9746.98,58.48,0,1.0
2026-01,West,Borrower,P003,C002,1,1,15733.68,503.48,0,1.0
2025-06,Northeast,Mass Affluent,P005,C001,1,1,3349.76,137.34,0,1.0
2025-07,West,Borrower,P005,C003,1,1,4681.51,191.94,1,1.0
2025-09,Northeast,Digital Native,P001,C003,1,1,19786.46,118.72,0,1.0
2026-02,Southwest,Digital Native,P004,C003,1,1,17733.65,141.87,0,1.0
2026-08,Midwest,Rate Shopper,P003,C005,1,1,16399.35,524.78,0,1.0
2026-04,Midwest,Borrower,P005,C002,1,1,4524.42,185.5,0,1.0
2025-10,Northeast,Borrower,P001,C005,1,1,14477.98,86.87,1,1.0
2025-09,Midwest,Mass Affluent,P005,C005,1,1,2199.25,90.17,0,1.0
2026-08,Southeast,Borrower,P004,C004,1,0,0.0,0.0,0,0.0
2025-08,Northeast,Mass Affluent,P004,C002,2,1,24461.48,195.69,0,0.5
2026-02,Midwest,Mass Affluent,P003,C001,1,1,9524.13,304.77,0,1.0
2025-11,Southwest,Emerging Affluent,P002,C004,1,1,14866.68,59.47,0,1.0
2025-09,Midwest,Borrower,P002,C002,1,0,0.0,0.0,0,0.0
2025-12,Midwest,Mass Affluent,P002,C005,1,0,0.0,0.0,0,0.0
2025-02,West,Mass Affluent,P001,C005,1,0,0.0,0.0,0,0.0
2026-05,Midwest,Emerging Affluent,P005,C003,1,1,3979.48,163.16,0,1.0
2026-05,Southwest,Emerging Affluent,P005,C004,1,0,0.0,0.0,0,0.0
2025-05,Northeast,Digital Native,P002,C004,1,1,23648.01,94.59,1,1.0
2025-11,Midwest,Rate Shopper,P005,C001,1,1,2021.7,82.89,0,1.0
2025-10,Northeast,Mass Affluent,P003,C002,1,1,7619.31,243.82,0,1.0
2026-02,Northeast,Mass Affluent,P003,C003,1,1,15752.38,504.08,1,1.0
2025-10,Northeast,Rate Shopper,P002,C001,1,0,0.0,0.0,0,0.0
2026-03,Southwest,Borrower,P001,C002,1,1,10437.94,62.63,0,1.0
2025-09,West,Borrower,P004,C003,1,1,12776.5,102.21,0,1.0
2025-04,West,Mass Affluent,P003,C004,1,1,11998.11,383.94,0,1.0
2025-09,Northeast,Borrower,P005,C005,1,1,2556.64,104.82,0,1.0
2025-06,Southeast,Digital Native,P005,C005,1,0,0.0,0.0,0,0.0
2026-04,West,Borrower,P005,C004,2,2,7066.18,289.71,1,1.0
2026-03,Northeast,Digital Native,P002,C003,1,1,21083.04,84.33,0,1.0
2025-08,West,Mass Affluent,P002,C003,1,0,0.0,0.0,0,0.0
2026-08,Southeast,Rate Shopper,P004,C003,1,1,32323.82,258.59,0,1.0
2025-08,West,Mass Affluent,P001,C002,1,0,0.0,0.0,0,0.0
2025-03,West,Mass Affluent,P001,C001,3,2,17609.06,105.65,0,0.6667
2025-03,Southwest,Borrower,P004,C005,1,1,30485.82,243.89,0,1.0
2025-10,West,Rate Shopper,P002,C002,1,1,34966.52,139.87,1,1.0
2025-11,West,Mass Affluent,P001,C003,1,0,0.0,0.0,0,0.0
2026-08,Southeast,Digital Native,P005,C002,2,1,2253.31,92.39,0,0.5
2025-12,Midwest,Emerging Affluent,P005,C003,1,1,2401.36,98.46,0,1.0
2025-01,Southwest,Borrower,P002,C003,1,1,27780.31,111.12,0,1.0
2026-07,Southwest,Borrower,P003,C004,2,1,8315.61,266.1,0,0.5
2026-09,West,Rate Shopper,P004,C003,1,1,22908.69,183.27,1,1.0
2026-03,Northeast,Emerging Affluent,P004,C005,2,1,16406.85,131.25,0,0.5
2026-03,Midwest,Digital Native,P003,C001,1,1,16360.95,523.55,0,1.0
