transaction_id,transaction_date,customer_id,product_id,channel_id,region,segment,sales_amount,estimated_revenue,sales_stage,is_new_customer_sale,source_system
TXN0000001,2025-02-13,CUST00136,P003,C002,Northeast,Rate Shopper,11499.06,367.97,Approved,False,campaign_platform
TXN0000002,2025-11-28,CUST00452,P001,C001,West,Emerging Affluent,11364.07,68.18,Funded,False,loan_origination
TXN0000003,2026-07-12,CUST00428,P003,C005,Midwest,Mass Affluent,10037.42,321.2,Funded,False,marcus_web
TXN0000004,2025-08-17,CUST00265,P003,C004,Midwest,Digital Native,12394.58,396.63,Funded,False,loan_origination
TXN0000005,2025-01-07,CUST00250,P004,C005,Midwest,Rate Shopper,17788.11,142.3,Funded,True,loan_origination
TXN0000006,2025-06-11,CUST00109,P002,C002,Northeast,Borrower,26940.33,107.76,Funded,False,marcus_web
TXN0000007,2025-12-05,CUST00339,P002,C004,Southwest,Digital Native,24987.52,99.95,Funded,True,crm
TXN0000008,2025-09-07,CUST00332,P004,C001,Southwest,Mass Affluent,13328.21,106.63,Funded,False,crm
TXN0000009,2026-08-10,CUST00069,P005,C001,Southwest,Mass Affluent,3607.79,147.92,Abandoned,False,campaign_platform
TXN0000010,2025-10-18,CUST00307,P005,C001,Southeast,Digital Native,3738.64,153.28,Abandoned,True,campaign_platform
TXN0000011,2025-08-13,CUST00445,P004,C002,Northeast,Digital Native,27048.29,216.39,Approved,False,crm
TXN0000012,2025-06-21,CUST00320,P005,C003,Northeast,Borrower,1871.52,76.73,Approved,False,campaign_platform
TXN0000013,2025-08-24,CUST00306,P005,C001,Southwest,Mass Affluent,2769.81,113.56,Funded,False,campaign_platform
TXN0000014,2025-04-09,CUST00424,P002,C005,Southwest,Digital Native,30486.12,121.94,Funded,False,marcus_web
TXN0000015,2025-05-01,CUST00450,P005,C005,Southwest,Digital Native,4569.97,187.37,Application Started,False,marcus_web
TXN0000016,2026-03-07,CUST00460,P004,C005,West,Borrower,28245.42,225.96,Funded,True,campaign_platform
TXN0000017,2025-12-25,CUST00118,P004,C004,Northeast,Rate Shopper,11267.15,90.14,Approved,False,marcus_web
TXN0000018,2026-05-04,CUST00218,P002,C003,West,Borrower,18750.81,75.0,Approved,False,marcus_web
TXN0000019,2026-02-23,CUST00146,P005,C005,West,Rate Shopper,3194.25,130.96,Approved,True,marcus_web
TXN0000020,2025-07-30,CUST00267,P001,C004,West,Borrower,18659.02,111.95,Funded,False,loan_origination
TXN0000021,2026-08-23,CUST00055,P002,C004,Southwest,Rate Shopper,26576.16,106.3,Funded,False,loan_origination
TXN0000022,2026-02-28,CUST00349,P004,C002,Midwest,Rate Shopper,37127.54,297.02,Funded,False,crm
TXN0000023,2026-05-11,CUST00190,P005,C005,Midwest,Borrower,3177.25,130.27,Funded,False,crm
TXN0000024,2026-04-03,CUST00438,P001,C002,Midwest,Rate Shopper,23390.23,140.34,Approved,False,marcus_web
TXN0000025,2025-12-13,CUST00110,P005,C004,Midwest,Digital Native,3685.44,151.1,Funded,True,campaign_platform
TXN0000026,2025-05-29,CUST00494,P001,C001,Southeast,Emerging Affluent,9746.98,58.48,Funded,False,marcus_web
TXN0000027,2026-01-15,CUST00033,P003,C002,West,Borrower,15733.68,503.48,Funded,False,loan_origination
TXN0000028,2025-06-29,CUST00365,P005,C001,Northeast,Mass Affluent,3349.76,137.34,Funded,False,crm
TXN0000029,2025-07-19,CUST00436,P005,C003,West,Borrower,4681.51,191.94,Funded,True,crm
TXN0000030,2025-09-02,CUST00346,P001,C003,Northeast,Digital Native,19786.46,118.72,Funded,False,marcus_web
TXN0000031,2026-02-09,CUST00142,P004,C003,Southwest,Digital Native,17733.65,141.87,Funded,False,marcus_web
TXN0000032,2026-08-20,CUST00282,P003,C005,Midwest,Rate Shopper,16399.35,524.78,Funded,False,loan_origination
TXN0000033,2026-04-11,CUST00116,P005,C002,Midwest,Borrower,4524.42,185.5,Funded,False,marcus_web
TXN0000034,2025-10-29,CUST00287,P001,C005,Northeast,Borrower,14477.98,86.87,Funded,True,loan_origination
TXN0000035,2025-09-14,CUST00449,P005,C005,Midwest,Mass Affluent,2199.25,90.17,Funded,False,loan_origination
TXN0000036,2026-08-24,CUST00493,P004,C004,Southeast,Borrower,3189.83,25.52,Application Started,False,loan_origination
TXN0000037,2025-08-24,CUST00035,P004,C002,Northeast,Mass Affluent,24461.48,195.69,Funded,False,loan_origination
TXN0000038,2026-02-13,CUST00128,P003,C001,Midwest,Mass Affluent,9524.13,304.77,Funded,False,marcus_web
TXN0000039,2025-11-18,CUST00284,P002,C004,Southwest,Emerging Affluent,14866.68,59.47,Funded,False,crm
TXN0000040,2025-09-05,CUST00256,P002,C002,Midwest,Borrower,42942.47,171.77,Application Started,True,crm
TXN0000041,2025-12-31,CUST00428,P002,C005,Midwest,Mass Affluent,29499.87,118.0,Abandoned,False,campaign_platform
TXN0000042,2025-02-13,CUST00315,P001,C005,West,Mass Affluent,20485.6,122.91,Application Started,False,loan_origination
TXN0000043,2026-05-18,CUST00253,P005,C003,Midwest,Emerging Affluent,3979.48,163.16,Funded,False,crm
TXN0000044,2026-05-05,CUST00028,P005,C004,Southwest,Emerging Affluent,4937.16,202.42,Abandoned,True,loan_origination
TXN0000045,2025-05-04,CUST00202,P002,C004,Northeast,Digital Native,23648.01,94.59,Funded,True,crm
TXN0000046,2025-11-30,CUST00195,P005,C001,Midwest,Rate Shopper,2021.7,82.89,Funded,False,crm
TXN0000047,2025-10-03,CUST00281,P003,C002,Northeast,Mass Affluent,7619.31,243.82,Funded,False,crm
TXN0000048,2026-02-15,CUST00215,P003,C003,Northeast,Mass Affluent,15752.38,504.08,Funded,True,crm
TXN0000049,2025-10-04,CUST00295,P002,C001,Northeast,Rate Shopper,31010.46,124.04,Application Started,True,crm
TXN0000050,2026-03-08,CUST00243,P001,C002,Southwest,Borrower,10437.94,62.63,Funded,False,loan_origination
TXN0000051,2025-09-14,CUST00403,P004,C003,West,Borrower,12776.5,102.21,Funded,False,marcus_web
TXN0000052,2025-04-09,CUST00111,P003,C004,West,Mass Affluent,11998.11,383.94,Funded,False,loan_origination
TXN0000053,2025-09-21,CUST00185,P005,C005,Northeast,Borrower,2556.64,104.82,Funded,False,crm
TXN0000054,2025-06-28,CUST00296,P005,C005,Southeast,Digital Native,4157.76,170.47,Abandoned,False,loan_origination
TXN0000055,2026-04-03,CUST00345,P005,C004,West,Borrower,4043.71,165.79,Funded,False,crm
TXN0000056,2026-03-08,CUST00445,P002,C003,Northeast,Digital Native,21083.04,84.33,Funded,False,marcus_web
TXN0000057,2025-08-22,CUST00041,P002,C003,West,Mass Affluent,21660.03,86.64,Approved,False,campaign_platform
TXN0000058,2026-08-25,CUST00139,P004,C003,Southeast,Rate Shopper,32323.82,258.59,Funded,False,crm
TXN0000059,2025-08-29,CUST00095,P001,C002,West,Mass Affluent,10143.3,60.86,Approved,True,crm
TXN0000060,2025-03-07,CUST00204,P001,C001,West,Mass Affluent,5264.95,31.59,Abandoned,False,marcus_web
TXN0000061,2025-03-27,CUST00014,P004,C005,Southwest,Borrower,30485.82,243.89,Funded,False,campaign_platform
TXN0000062,2025-10-18,CUST00159,P002,C002,West,Rate Shopper,34966.52,139.87,Funded,True,crm
TXN0000063,2025-11-30,CUST00015,P001,C003,West,Mass Affluent,22649.79,135.9,Application Started,False,campaign_platform
TXN0000064,2026-08-29,CUST00070,P005,C002,Southeast,Digital Native,2253.31,92.39,Funded,False,campaign_platform
TXN0000065,2025-12-22,CUST00269,P005,C003,Midwest,Emerging Affluent,2401.36,98.46,Funded,False,campaign_platform
TXN0000066,2025-01-11,CUST00134,P002,C003,Southwest,Borrower,27780.31,111.12,Funded,False,crm
TXN0000067,2026-07-02,CUST00177,P003,C004,Southwest,Borrower,25950.21,830.41,Abandoned,False,marcus_web
TXN0000068,2026-09-04,CUST00393,P004,C003,West,Rate Shopper,22908.69,183.27,Funded,True,loan_origination
TXN0000069,2026-03-24,CUST00097,P004,C005,Northeast,Emerging Affluent,18371.63,146.97,Approved,False,campaign_platform
TXN0000070,2026-03-09,CUST00113,P003,C001,Midwest,Digital Native,16360.95,523.55,Funded,False,loan_origination
TXN0000071,2026-02-27,CUST00146,P005,C003,West,Rate Shopper,3360.19,137.77,Funded,True,campaign_platform
TXN0000072,2026-09-30,CUST00317,P004,C003,Midwest,Borrower,24682.69,197.46,Funded,False,crm
TXN0000073,2025-07-10,CUST00026,P005,C001,Southeast,Rate Shopper,4098.14,168.02,Funded,False,marcus_web
TXN0000074,2025-01-16,CUST00120,P001,C002,Midwest,Rate Shopper,17112.8,102.68,Funded,False,loan_origination
TXN0000075,2026-04-20,CUST00403,P004,C003,West,Borrower,21359.98,170.88,Funded,False,crm
TXN0000076,2025-03-15,CUST00029,P003,C004,Southwest,Digital Native,13282.06,425.03,Funded,True,loan_origination
TXN0000077,2025-05-05,CUST00419,P004,C001,Midwest,Emerging Affluent,34039.98,272.32,Funded,False,crm
TXN0000078,2026-04-17,CUST00378,P001,C002,West,Emerging Affluent,16414.29,98.49,Approved,True,crm
TXN0000079,2025-11-27,CUST00243,P004,C003,Southwest,Borrower,28751.29,230.01,Approved,False,marcus_web
TXN0000080,2025-07-23,CUST00130,P004,C003,Northeast,Emerging Affluent,32435.95,259.49,Funded,True,crm
TXN0000081,2026-03-21,CUST00499,P001,C002,West,Mass Affluent,16279.34,97.68,Funded,True,crm
TXN0000082,2026-05-02,CUST00005,P001,C005,Northeast,Rate Shopper,21402.66,128.42,Funded,True,marcus_web
TXN0000083,2025-04-04,CUST00128,P002,C004,Midwest,Mass Affluent,23635.38,94.54,Abandoned,False,marcus_web
TXN0000084,2026-07-04,CUST00031,P003,C002,Southeast,Mass Affluent,10255.5,328.18,Approved,True,crm
TXN0000085,2026-03-26,CUST00163,P005,C003,West,Emerging Affluent,3175.47,130.19,Funded,False,loan_origination
TXN0000086,2026-03-25,CUST00461,P001,C004,West,Rate Shopper,16698.35,100.19,Funded,False,campaign_platform
TXN0000087,2026-07-11,CUST00098,P005,C002,Southwest,Mass Affluent,2152.76,88.26,Funded,False,crm
TXN0000088,2026-04-06,CUST00036,P005,C002,Midwest,Digital Native,4686.8,192.16,Funded,True,loan_origination
TXN0000089,2026-01-24,CUST00233,P001,C005,Northeast,Borrower,16662.49,99.97,Funded,False,crm
TXN0000090,2026-02-01,CUST00165,P001,C005,Southwest,Digital Native,5019.96,30.12,Funded,False,crm
TXN0000091,2026-02-24,CUST00314,P003,C003,West,Rate Shopper,12945.55,414.26,Funded,True,crm
TXN0000092,2025-04-20,CUST00092,P001,C002,Midwest,Emerging Affluent,15640.28,93.84,Funded,True,campaign_platform
TXN0000093,2026-08-28,CUST00337,P004,C005,Southeast,Rate Shopper,21725.61,173.8,Funded,True,crm
TXN0000094,2026-04-25,CUST00336,P004,C001,Southeast,Borrower,29350.41,234.8,Approved,True,campaign_platform
TXN0000095,2026-09-24,CUST00421,P003,C001,West,Borrower,14354.94,459.36,Funded,False,crm
TXN0000096,2025-04-14,CUST00492,P005,C001,Southeast,Digital Native,3521.09,144.36,Approved,False,crm
TXN0000097,2026-08-07,CUST00099,P005,C002,West,Rate Shopper,2703.77,110.85,Approved,False,marcus_web
TXN0000098,2026-04-15,CUST00393,P005,C003,West,Rate Shopper,2701.74,110.77,Approved,False,marcus_web
TXN0000099,2026-02-16,CUST00086,P002,C005,West,Mass Affluent,13171.67,52.69,Funded,False,loan_origination
TXN0000100,2025-11-29,CUST00463,P003,C005,Southeast,Emerging Affluent,14280.97,456.99,Application Started,False,campaign_platform
TXN0000101,2025-09-04,CUST00423,P003,C005,West,Emerging Affluent,11252.28,360.07,Approved,False,loan_origination
TXN0000102,2026-02-11,CUST00185,P004,C004,Northeast,Borrower,19935.51,159.48,Funded,True,loan_origination
TXN0000103,2025-05-19,CUST00306,P001,C005,Southwest,Mass Affluent,23336.02,140.02,Funded,True,loan_origination
